month,customer,segment,state,network,data_type,patients_queried,patients_matched,patients_with_data,records_returned,freshness_days,avg_lookback_months
2025-07,Elation Direct,Primary care EHR,VA,Carequality,conditions,960,801,619,3597,12.7,29.0
2025-07,Elation Direct,Primary care EHR,VA,Carequality,encounters,960,801,594,5075,8.2,36.0
2025-07,Elation Direct,Primary care EHR,VA,Carequality,medications,960,801,584,7178,2.9,55.0
2025-07,Elation Direct,Primary care EHR,VA,Carequality,labs,960,801,602,8475,2.9,50.0
2025-07,Elation Direct,Primary care EHR,VA,Carequality,documents,960,801,598,2358,12.7,49.0
2025-07,Elation Direct,Primary care EHR,VA,Carequality,allergies,960,801,607,1098,12.9,23.0
2025-07,Elation Direct,Primary care EHR,VA,Carequality,immunizations,960,801,632,1359,17.8,43.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,conditions,960,741,488,3277,15.4,39.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,encounters,960,741,499,4049,9.1,24.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,medications,960,741,511,4983,2.6,47.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,labs,960,741,484,6165,3.6,48.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,documents,960,741,482,1757,12.9,57.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,allergies,960,741,494,743,14.6,46.0
2025-07,Elation Direct,Primary care EHR,VA,CommonWell,immunizations,960,741,521,1170,25.2,19.0
2025-07,Elation Direct,Primary care EHR,VA,Surescripts,medications,960,884,773,7497,2.2,36.0
2025-07,Elation Direct,Primary care EHR,VA,Quest Labs,labs,960,869,371,5868,3.6,38.0
2025-07,Elation Direct,Primary care EHR,VA,Bamboo Health,adt_events,960,787,423,709,0.2,51.0
2025-07,Elation Direct,Primary care EHR,VA,PointClickCare,adt_events,960,745,343,672,0.2,43.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,conditions,1135,920,603,3909,14.8,37.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,encounters,1135,920,658,5757,11.7,52.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,medications,1135,920,673,6440,2.7,24.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,labs,1135,920,651,8595,2.6,57.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,documents,1135,920,392,1503,13.2,23.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,allergies,1135,920,615,852,12.4,20.0
2025-07,Elation Direct,Primary care EHR,OK,Carequality,immunizations,1135,920,628,1588,19.9,31.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,conditions,1135,865,522,3577,9.9,26.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,encounters,1135,865,571,5016,10.9,35.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,medications,1135,865,509,5386,2.7,22.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,labs,1135,865,543,6580,3.8,22.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,documents,1135,865,340,1562,19.3,52.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,allergies,1135,865,527,879,16.7,24.0
2025-07,Elation Direct,Primary care EHR,OK,CommonWell,immunizations,1135,865,518,1248,24.6,37.0
2025-07,Elation Direct,Primary care EHR,OK,Surescripts,medications,1135,1001,781,7989,2.2,38.0
2025-07,Elation Direct,Primary care EHR,OK,Quest Labs,labs,1135,957,368,4947,2.9,32.0
2025-07,Elation Direct,Primary care EHR,OK,Bamboo Health,adt_events,1135,907,411,733,0.3,56.0
2025-07,Elation Direct,Primary care EHR,OK,PointClickCare,adt_events,1135,916,401,769,0.2,45.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,conditions,662,583,469,3023,11.3,49.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,encounters,662,583,458,4605,12.3,24.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,medications,662,583,486,4696,2.9,22.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,labs,662,583,454,5664,3.8,52.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,documents,662,583,490,2179,18.0,58.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,allergies,662,583,473,777,11.9,44.0
2025-07,Elation Direct,Primary care EHR,CO,Carequality,immunizations,662,583,465,1137,21.7,38.0
